ITEM_ID,CATEGORY,SEASON
1,ファッション,Winter
2,食料品,Winter
3,食料品,Spring
4,ファッション,Summer
5,ファッション,Autumn
6,ファッション,Summer
7,ファッション,Summer
8,書籍,Summer
9,日用品,Spring
10,ビューティー,Spring
11,スポーツ,Spring
12,食料品,Winter
13,スポーツ,Spring
14,日用品,Autumn
15,日用品,Spring
16,書籍,Winter
17,家電,Spring
18,おもちゃ,Summer
19,おもちゃ,Summer
20,家電,Summer
21,おもちゃ,Spring
22,食料品,Winter
23,ファッション,Autumn
24,ビューティー,Spring
25,ビューティー,Spring
26,日用品,Autumn
27,書籍,Winter
28,おもちゃ,Winter
29,ファッション,Winter
30,キャンプ,Autumn
31,食料品,Summer
32,家電,Winter
33,ファッション,Winter
34,ビューティー,Autumn
35,食料品,Spring
36,スポーツ,Spring
37,ファッション,Autumn
38,ファッション,Spring
39,家電,Spring
40,キャンプ,Winter
41,スポーツ,Summer
42,ファッション,Summer
43,ビューティー,Spring
44,書籍,Autumn
45,ファッション,Spring
46,ビューティー,Summer
47,食料品,Winter
48,日用品,Spring
49,スポーツ,Spring
50,ビューティー,Winter
51,書籍,Winter
52,書籍,Winter
53,おもちゃ,Winter
54,スポーツ,Spring
55,ファッション,Winter
56,ビューティー,Spring
57,ファッション,Winter
58,家電,Spring
59,日用品,Winter
60,食料品,Winter
61,日用品,Winter
62,食料品,Spring
63,食料品,Winter
64,書籍,Winter
65,日用品,Summer
66,キャンプ,Spring
67,ビューティー,Spring
68,ファッション,Summer
69,ビューティー,Spring
70,日用品,Spring
71,ファッション,Winter
72,スポーツ,Winter
73,食料品,Summer
74,日用品,Autumn
75,ビューティー,Spring
76,キャンプ,Spring
77,ビューティー,Winter
78,日用品,Summer
79,ファッション,Spring
80,ファッション,Summer
81,おもちゃ,Summer
82,日用品,Winter
83,キャンプ,Winter
84,ビューティー,Winter
85,食料品,Winter
86,ファッション,Summer
87,書籍,Spring
88,おもちゃ,Spring
89,食料品,Spring
90,日用品,Summer
91,キャンプ,Spring
92,ファッション,Winter
93,食料品,Summer
94,書籍,Spring
95,食料品,Winter
96,家電,Summer
97,食料品,Winter
98,ファッション,Spring
99,ビューティー,Summer
100,食料品,Winter
101,キャンプ,Winter
102,日用品,Spring
103,書籍,Autumn
104,ファッション,Autumn
105,家電,Spring
106,日用品,Spring
107,ビューティー,Summer
108,ビューティー,Autumn
109,おもちゃ,Winter
110,日用品,Winter
111,ファッション,Winter
112,ビューティー,Summer
113,家電,Summer
114,書籍,Summer
115,ファッション,Summer
116,食料品,Spring
117,食料品,Autumn
118,家電,Winter
119,書籍,Summer
120,家電,Autumn
121,ビューティー,Spring
122,スポーツ,Autumn
123,書籍,Summer
124,ファッション,Autumn
125,食料品,Spring
126,日用品,Spring
127,日用品,Autumn
128,食料品,Autumn
129,日用品,Spring
130,ファッション,Spring
131,食料品,Spring
132,日用品,Spring
133,ビューティー,Autumn
134,日用品,Winter
135,おもちゃ,Winter
136,日用品,Winter
137,食料品,Winter
138,書籍,Spring
139,食料品,Winter
140,ファッション,Summer
141,ビューティー,Summer
142,食料品,Winter
143,日用品,Summer
144,家電,Spring
145,食料品,Spring
146,家電,Winter
147,キャンプ,Autumn
148,キャンプ,Autumn
149,キャンプ,Spring
150,食料品,Winter
151,食料品,Winter
152,食料品,Autumn
153,食料品,Spring
154,おもちゃ,Spring
155,日用品,Winter
156,食料品,Summer
157,スポーツ,Spring
158,おもちゃ,Autumn
159,ファッション,Autumn
160,食料品,Spring
161,食料品,Winter
162,おもちゃ,Spring
163,ファッション,Summer
164,おもちゃ,Spring
165,ファッション,Winter
166,家電,Autumn
167,キャンプ,Summer
168,食料品,Winter
169,日用品,Autumn
170,ファッション,Summer
171,日用品,Spring
172,ファッション,Winter
173,書籍,Winter
174,ファッション,Winter
175,ファッション,Autumn
176,日用品,Winter
177,ビューティー,Winter
178,家電,Autumn
179,日用品,Winter
180,ファッション,Autumn
181,ビューティー,Winter
182,ファッション,Winter
183,家電,Spring
184,日用品,Winter
185,食料品,Winter
186,食料品,Autumn
187,ファッション,Summer
188,ファッション,Autumn
189,ビューティー,Summer
190,日用品,Spring
191,スポーツ,Spring
192,日用品,Autumn
193,ファッション,Winter
194,ファッション,Summer
195,おもちゃ,Summer
196,食料品,Autumn
197,書籍,Autumn
198,ファッション,Winter
199,ファッション,Spring
200,ファッション,Spring
201,家電,Summer
202,ファッション,Summer
203,家電,Spring
204,おもちゃ,Winter
205,書籍,Autumn
206,書籍,Winter
207,ビューティー,Winter
208,食料品,Autumn
209,キャンプ,Autumn
210,日用品,Spring
211,ビューティー,Winter
212,食料品,Autumn
213,家電,Winter
214,食料品,Winter
215,書籍,Spring
216,ビューティー,Autumn
217,ファッション,Summer
218,スポーツ,Spring
219,ファッション,Summer
220,日用品,Spring
221,スポーツ,Winter
222,日用品,Spring
223,書籍,Winter
224,ファッション,Winter
225,家電,Summer
226,日用品,Winter
227,家電,Winter
228,ビューティー,Winter
229,家電,Summer
230,食料品,Summer
231,食料品,Summer
232,食料品,Winter
233,ファッション,Spring
234,日用品,Winter
235,ファッション,Summer
236,食料品,Spring
237,ビューティー,Winter
238,家電,Autumn
239,書籍,Winter
240,日用品,Spring
241,家電,Winter
242,ファッション,Winter
243,ファッション,Spring
244,日用品,Winter
245,ファッション,Autumn
246,書籍,Autumn
247,ファッション,Autumn
248,ファッション,Summer
249,家電,Summer
250,おもちゃ,Spring
251,日用品,Summer
252,日用品,Spring
253,日用品,Winter
254,日用品,Autumn
255,日用品,Spring
256,食料品,Summer
257,家電,Winter
258,ファッション,Summer
259,食料品,Spring
260,キャンプ,Spring
261,おもちゃ,Spring
262,ファッション,Spring
263,ファッション,Summer
264,日用品,Summer
265,ビューティー,Summer
266,家電,Summer
267,書籍,Summer
268,家電,Autumn
269,ファッション,Spring
270,書籍,Winter
271,おもちゃ,Autumn
272,食料品,Summer
273,食料品,Summer
274,ファッション,Winter
275,日用品,Autumn
276,ファッション,Autumn
277,食料品,Summer
278,書籍,Winter
279,スポーツ,Autumn
280,食料品,Summer
281,家電,Winter
282,食料品,Spring
283,家電,Winter
284,ビューティー,Spring
285,家電,Winter
286,ビューティー,Summer
287,食料品,Winter
288,スポーツ,Summer
289,ファッション,Summer
