USER_ID,AGE,OCCUPATION,RESIDENCE
1,52,Account Representative II,秋田県
2,16,Data Coordinator,東京都
3,24,Clinical Specialist,滋賀県
4,37,Programmer I,沖縄県
5,51,Automation Specialist IV,愛知県
6,65,Software Consultant,富山県
7,20,Geologist I,広島県
8,22,Desktop Support Technician,沖縄県
9,25,Biostatistician III,山形県
10,34,Analyst Programmer,福岡県
11,25,Account Executive,三重県
12,54,Senior Editor,広島県
13,41,Business Systems Development Analyst,静岡県
14,50,Human Resources Manager,沖縄県
15,58,Teacher,香川県
16,41,Assistant Media Planner,岩手県
17,35,Internal Auditor,大阪府
18,63,Analog Circuit Design manager,山口県
19,40,Research Nurse,山口県
20,48,Web Developer II,熊本県
21,15,Design Engineer,岡山県
22,40,Assistant Media Planner,山梨県
23,43,Senior Sales Associate,岐阜県
24,15,Senior Sales Associate,新潟県
25,20,Desktop Support Technician,福島県
26,27,Electrical Engineer,山形県
27,30,Sales Associate,岩手県
28,17,Librarian,山口県
29,15,Professor,大阪府
30,61,Physical Therapy Assistant,京都府
31,33,Budget/Accounting Analyst II,鳥取県
32,65,Occupational Therapist,茨城県
33,36,Data Coordinator,群馬県
34,44,Speech Pathologist,福井県
35,50,Structural Engineer,福井県
36,56,Staff Accountant I,北海道
37,36,Information Systems Manager,京都府
38,52,Research Associate,山口県
39,57,Geologist III,千葉県
40,15,Executive Secretary,山形県
41,31,Senior Editor,茨城県
42,49,Food Chemist,岐阜県
43,60,Data Coordinator,山梨県
44,51,Information Systems Manager,島根県
45,24,Budget/Accounting Analyst II,岐阜県
46,47,Developer IV,山梨県
47,29,Assistant Media Planner,佐賀県
48,52,Financial Analyst,広島県
49,34,Administrative Assistant I,福井県
50,43,Help Desk Operator,福井県
51,20,Director of Sales,香川県
52,21,Actuary,秋田県
53,47,Human Resources Assistant III,群馬県
54,30,Sales Representative,山形県
55,27,GIS Technical Architect,北海道
56,22,Pharmacist,茨城県
57,27,Accountant II,北海道
58,23,Account Coordinator,和歌山県
59,53,Developer III,京都府
60,51,Senior Quality Engineer,沖縄県
61,47,Project Manager,三重県
62,37,Recruiter,富山県
63,18,Senior Quality Engineer,長崎県
64,39,Environmental Specialist,福井県
65,51,Speech Pathologist,群馬県
66,30,Accountant IV,東京都
67,24,Assistant Professor,京都府
68,63,Physical Therapy Assistant,福島県
69,62,Financial Advisor,高知県
70,47,Staff Scientist,千葉県
71,22,Geological Engineer,山口県
72,55,Structural Engineer,栃木県
73,49,Sales Representative,福井県
74,44,Programmer Analyst IV,静岡県
75,21,Biostatistician IV,茨城県
76,19,Assistant Manager,大阪府
77,60,Senior Developer,和歌山県
78,57,Nurse,秋田県
79,54,Accountant II,鳥取県
80,62,Analyst Programmer,佐賀県
81,50,Product Engineer,東京都
82,49,Staff Accountant I,秋田県
83,22,Geologist IV,鳥取県
84,45,Developer III,岩手県
85,28,Software Engineer IV,京都府
86,59,Accountant IV,千葉県
87,28,Design Engineer,千葉県
88,24,Environmental Specialist,鳥取県
89,36,Desktop Support Technician,静岡県
90,53,Actuary,島根県
91,64,Structural Analysis Engineer,熊本県
92,47,Automation Specialist I,長野県
93,53,Teacher,宮城県
94,65,Editor,千葉県
95,30,Marketing Manager,埼玉県
96,65,Web Developer I,栃木県
97,26,Environmental Specialist,栃木県
98,22,Biostatistician I,熊本県
99,55,Structural Engineer,大分県
100,60,Human Resources Manager,岡山県
101,15,Mechanical Systems Engineer,青森県
102,25,Editor,北海道
103,58,VP Quality Control,徳島県
104,51,Research Assistant II,大分県
105,28,Health Coach II,栃木県
106,15,Business Systems Development Analyst,青森県
107,28,Administrative Officer,宮城県
108,38,Electrical Engineer,佐賀県
109,50,Dental Hygienist,和歌山県
110,47,Human Resources Manager,宮崎県
111,33,Design Engineer,岐阜県
112,18,Nurse Practicioner,高知県
113,26,Nurse Practicioner,宮崎県
114,15,Office Assistant IV,三重県
115,49,Analog Circuit Design manager,高知県
116,50,Chief Design Engineer,鳥取県
117,34,Programmer Analyst IV,山梨県
118,29,Physical Therapy Assistant,沖縄県
119,22,Safety Technician I,富山県
120,39,Geologist IV,沖縄県
121,51,Quality Control Specialist,茨城県
122,28,Accountant II,青森県
123,28,Senior Quality Engineer,鹿児島県
124,63,Pharmacist,高知県
125,27,Accountant II,奈良県
126,58,Professor,埼玉県
127,62,Nuclear Power Engineer,岡山県
128,56,Civil Engineer,三重県
129,34,VP Product Management,鳥取県
130,43,Recruiting Manager,鹿児島県
131,62,Structural Engineer,熊本県
132,61,Help Desk Technician,群馬県
133,36,Help Desk Technician,群馬県
134,54,Civil Engineer,石川県
135,29,Structural Analysis Engineer,北海道
136,25,Environmental Tech,愛媛県
137,40,General Manager,岩手県
138,52,Budget/Accounting Analyst III,茨城県
139,56,Programmer Analyst I,広島県
140,50,General Manager,山梨県
141,25,Business Systems Development Analyst,沖縄県
142,40,Tax Accountant,三重県
143,64,Office Assistant II,青森県
144,43,Safety Technician II,青森県
